Original gene set ID	Original gene set description
ENSG00000025293	PHF20 PPI subnetwork
ENSG00000025434	NR1H3 PPI subnetwork
ENSG00000025770	NCAPH2 PPI subnetwork
ENSG00000025772	TOMM34 PPI subnetwork
ENSG00000025796	SEC63 PPI subnetwork
ENSG00000025800	KPNA6 PPI subnetwork
ENSG00000026025	VIM PPI subnetwork
ENSG00000026103	FAS PPI subnetwork
ENSG00000026508	CD44 PPI subnetwork
ENSG00000027075	PRKCH PPI subnetwork
ENSG00000027697	IFNGR1 PPI subnetwork
ENSG00000028137	TNFRSF1B PPI subnetwork
ENSG00000028277	POU2F2 PPI subnetwork
ENSG00000028528	SNX1 PPI subnetwork
ENSG00000028839	TBPL1 PPI subnetwork
ENSG00000029363	BCLAF1 PPI subnetwork
ENSG00000029534	ANK1 PPI subnetwork
ENSG00000029725	RABEP1 PPI subnetwork
ENSG00000030066	NUP160 PPI subnetwork
ENSG00000030110	BAK1 PPI subnetwork
ENSG00000030304	MUSK PPI subnetwork
ENSG00000030582	GRN PPI subnetwork
ENSG00000031544	ENSG00000031544 PPI subnetwork
ENSG00000031691	CENPQ PPI subnetwork
ENSG00000031698	SARS PPI subnetwork
ENSG00000031823	RANBP3 PPI subnetwork
ENSG00000032514	ENSG00000032514 PPI subnetwork
ENSG00000032742	IFT88 PPI subnetwork
ENSG00000033011	ALG1 PPI subnetwork
ENSG00000033050	ABCF2 PPI subnetwork
ENSG00000033122	LRRC7 PPI subnetwork
ENSG00000033327	GAB2 PPI subnetwork
ENSG00000033627	ATP6V0A1 PPI subnetwork
ENSG00000033800	PIAS1 PPI subnetwork
ENSG00000034053	APBA2 PPI subnetwork
ENSG00000034152	MAP2K3 PPI subnetwork
ENSG00000034677	RNF19A PPI subnetwork
ENSG00000034693	PEX3 PPI subnetwork
ENSG00000034713	GABARAPL2 PPI subnetwork
ENSG00000034971	MYOC PPI subnetwork
ENSG00000035115	SH3YL1 PPI subnetwork
ENSG00000035403	VCL PPI subnetwork
ENSG00000035862	TIMP2 PPI subnetwork
ENSG00000035928	RFC1 PPI subnetwork
ENSG00000036257	CUL3 PPI subnetwork
ENSG00000036672	USP2 PPI subnetwork
ENSG00000037042	TUBG2 PPI subnetwork
ENSG00000037241	RPL26L1 PPI subnetwork
ENSG00000037280	FLT4 PPI subnetwork
ENSG00000037749	MFAP3 PPI subnetwork
ENSG00000037965	HOXC8 PPI subnetwork
ENSG00000038002	AGA PPI subnetwork
ENSG00000038274	MAT2B PPI subnetwork
ENSG00000038358	EDC4 PPI subnetwork
ENSG00000038382	TRIO PPI subnetwork
ENSG00000038427	VCAN PPI subnetwork
ENSG00000039068	CDH1 PPI subnetwork
ENSG00000039123	SKIV2L2 PPI subnetwork
ENSG00000039319	ZFYVE16 PPI subnetwork
ENSG00000039537	C6 PPI subnetwork
ENSG00000039560	RAI14 PPI subnetwork
ENSG00000039650	PNKP PPI subnetwork
ENSG00000039987	BEST2 PPI subnetwork
ENSG00000040199	PHLPP2 PPI subnetwork
ENSG00000041357	PSMA4 PPI subnetwork
ENSG00000041982	TNC PPI subnetwork
ENSG00000042088	TDP1 PPI subnetwork
ENSG00000042429	MED17 PPI subnetwork
ENSG00000042753	AP2S1 PPI subnetwork
ENSG00000042832	TG PPI subnetwork
ENSG00000042980	ADAM28 PPI subnetwork
ENSG00000043093	DCUN1D1 PPI subnetwork
ENSG00000043355	ZIC2 PPI subnetwork
ENSG00000043462	LCP2 PPI subnetwork
ENSG00000043591	ADRB1 PPI subnetwork
ENSG00000044115	CTNNA1 PPI subnetwork
ENSG00000044446	PHKA2 PPI subnetwork
ENSG00000044524	EPHA3 PPI subnetwork
ENSG00000044574	HSPA5 PPI subnetwork
ENSG00000047056	WDR37 PPI subnetwork
ENSG00000047249	ATP6V1H PPI subnetwork
ENSG00000047315	POLR2B PPI subnetwork
ENSG00000047410	TPR PPI subnetwork
ENSG00000047457	CP PPI subnetwork
ENSG00000047579	DTNBP1 PPI subnetwork
ENSG00000047621	C12orf4 PPI subnetwork
ENSG00000047849	MAP4 PPI subnetwork
ENSG00000047932	GOPC PPI subnetwork
ENSG00000047936	ROS1 PPI subnetwork
ENSG00000048052	HDAC9 PPI subnetwork
ENSG00000048540	LMO3 PPI subnetwork
ENSG00000048828	FAM120A PPI subnetwork
ENSG00000049167	ERCC8 PPI subnetwork
ENSG00000049245	VAMP3 PPI subnetwork
ENSG00000049246	PER3 PPI subnetwork
ENSG00000049283	EPN3 PPI subnetwork
ENSG00000049323	LTBP1 PPI subnetwork
ENSG00000049449	RCN1 PPI subnetwork
ENSG00000049540	ELN PPI subnetwork
ENSG00000049541	RFC2 PPI subnetwork
ENSG00000049618	ARID1B PPI subnetwork
ENSG00000049759	NEDD4L PPI subnetwork
ENSG00000050405	LIMA1 PPI subnetwork
ENSG00000050748	MAPK9 PPI subnetwork
ENSG00000050820	BCAR1 PPI subnetwork
ENSG00000051128	HOMER3 PPI subnetwork
ENSG00000051180	RAD51 PPI subnetwork
ENSG00000051382	PIK3CB PPI subnetwork
ENSG00000052723	SIKE1 PPI subnetwork
ENSG00000052749	RRP12 PPI subnetwork
ENSG00000052802	MSMO1 PPI subnetwork
ENSG00000053372	MRTO4 PPI subnetwork
ENSG00000053900	ANAPC4 PPI subnetwork
ENSG00000053918	KCNQ1 PPI subnetwork
ENSG00000054116	TRAPPC3 PPI subnetwork
ENSG00000054118	THRAP3 PPI subnetwork
ENSG00000054267	ARID4B PPI subnetwork
ENSG00000054356	PTPRN PPI subnetwork
ENSG00000054523	KIF1B PPI subnetwork
ENSG00000054611	TBC1D22A PPI subnetwork
ENSG00000054796	SPO11 PPI subnetwork
ENSG00000055044	NOP58 PPI subnetwork
ENSG00000055130	CUL1 PPI subnetwork
ENSG00000055163	CYFIP2 PPI subnetwork
ENSG00000055208	TAB2 PPI subnetwork
ENSG00000055332	EIF2AK2 PPI subnetwork
ENSG00000055609	MLL3 PPI subnetwork
ENSG00000055732	MCOLN3 PPI subnetwork
ENSG00000055957	ITIH1 PPI subnetwork
ENSG00000056345	ENSG00000056345 PPI subnetwork
ENSG00000056558	TRAF1 PPI subnetwork
ENSG00000056661	PCGF2 PPI subnetwork
ENSG00000056678	ENSG00000056678 PPI subnetwork
ENSG00000056972	TRAF3IP2 PPI subnetwork
ENSG00000057294	PKP2 PPI subnetwork
ENSG00000057468	MSH4 PPI subnetwork
ENSG00000057593	F7 PPI subnetwork
ENSG00000057608	GDI2 PPI subnetwork
ENSG00000057657	PRDM1 PPI subnetwork
ENSG00000057663	ATG5 PPI subnetwork
ENSG00000058091	CDK14 PPI subnetwork
ENSG00000058262	SEC61A1 PPI subnetwork
ENSG00000058272	PPP1R12A PPI subnetwork
ENSG00000058335	RASGRF1 PPI subnetwork
ENSG00000058404	CAMK2B PPI subnetwork
ENSG00000058600	POLR3E PPI subnetwork
ENSG00000058668	ATP2B4 PPI subnetwork
ENSG00000058729	RIOK2 PPI subnetwork
ENSG00000058799	YIPF1 PPI subnetwork
ENSG00000058866	DGKG PPI subnetwork
ENSG00000059378	PARP12 PPI subnetwork
ENSG00000059573	ALDH18A1 PPI subnetwork
ENSG00000059728	MXD1 PPI subnetwork
ENSG00000059769	DNAJC25 PPI subnetwork
ENSG00000060069	CTDP1 PPI subnetwork
ENSG00000060138	CSDA PPI subnetwork
ENSG00000060140	STYK1 PPI subnetwork
ENSG00000060237	WNK1 PPI subnetwork
ENSG00000060339	CCAR1 PPI subnetwork
ENSG00000060558	GNA15 PPI subnetwork
ENSG00000060688	SNRNP40 PPI subnetwork
ENSG00000061273	HDAC7 PPI subnetwork
ENSG00000061337	LZTS1 PPI subnetwork
ENSG00000061492	WNT8A PPI subnetwork
ENSG00000061676	NCKAP1 PPI subnetwork
ENSG00000061936	SFSWAP PPI subnetwork
ENSG00000061938	TNK2 PPI subnetwork
ENSG00000061987	MON2 PPI subnetwork
ENSG00000062038	CDH3 PPI subnetwork
ENSG00000062485	CS PPI subnetwork
ENSG00000062725	APPBP2 PPI subnetwork
ENSG00000062822	POLD1 PPI subnetwork
ENSG00000063046	EIF4B PPI subnetwork
ENSG00000063176	SPHK2 PPI subnetwork
ENSG00000063177	RPL18 PPI subnetwork
ENSG00000063244	U2AF2 PPI subnetwork
ENSG00000063245	EPN1 PPI subnetwork
ENSG00000063322	MED29 PPI subnetwork
ENSG00000063438	AHRR PPI subnetwork
ENSG00000063601	MTMR1 PPI subnetwork
ENSG00000063761	ADCK1 PPI subnetwork
ENSG00000063978	RNF4 PPI subnetwork
ENSG00000064012	CASP8 PPI subnetwork
ENSG00000064300	NGFR PPI subnetwork
ENSG00000064313	TAF2 PPI subnetwork
ENSG00000064393	HIPK2 PPI subnetwork
ENSG00000064419	TNPO3 PPI subnetwork
ENSG00000064490	RFXANK PPI subnetwork
ENSG00000064547	LPAR2 PPI subnetwork
ENSG00000064601	CTSA PPI subnetwork
ENSG00000064692	SNCAIP PPI subnetwork
ENSG00000064703	DDX20 PPI subnetwork
ENSG00000064835	POU1F1 PPI subnetwork
ENSG00000064961	HMG20B PPI subnetwork
ENSG00000064995	TAF11 PPI subnetwork
ENSG00000064999	ANKS1A PPI subnetwork
ENSG00000065000	AP3D1 PPI subnetwork
ENSG00000065054	SLC9A3R2 PPI subnetwork
ENSG00000065057	NTHL1 PPI subnetwork
ENSG00000065135	GNAI3 PPI subnetwork
ENSG00000065150	IPO5 PPI subnetwork
ENSG00000065154	OAT PPI subnetwork
ENSG00000065183	WDR3 PPI subnetwork
ENSG00000065243	PKN2 PPI subnetwork
ENSG00000065268	WDR18 PPI subnetwork
ENSG00000065328	MCM10 PPI subnetwork
ENSG00000065361	ERBB3 PPI subnetwork
ENSG00000065427	KARS PPI subnetwork
ENSG00000065485	PDIA5 PPI subnetwork
ENSG00000065518	NDUFB4 PPI subnetwork
ENSG00000065526	SPEN PPI subnetwork
ENSG00000065534	MYLK PPI subnetwork
ENSG00000065548	ZC3H15 PPI subnetwork
ENSG00000065559	MAP2K4 PPI subnetwork
ENSG00000065609	SNAP91 PPI subnetwork
ENSG00000065613	SLK PPI subnetwork
ENSG00000065618	COL17A1 PPI subnetwork
ENSG00000065665	SEC61A2 PPI subnetwork
ENSG00000065675	PRKCQ PPI subnetwork
ENSG00000065717	TLE2 PPI subnetwork
ENSG00000065833	ME1 PPI subnetwork
ENSG00000065882	TBC1D1 PPI subnetwork
ENSG00000065883	CDK13 PPI subnetwork
ENSG00000065978	YBX1 PPI subnetwork
ENSG00000065989	PDE4A PPI subnetwork
ENSG00000066027	PPP2R5A PPI subnetwork
ENSG00000066032	CTNNA2 PPI subnetwork
ENSG00000066044	ELAVL1 PPI subnetwork
ENSG00000066117	SMARCD1 PPI subnetwork
ENSG00000066136	NFYC PPI subnetwork
ENSG00000066248	NGEF PPI subnetwork
ENSG00000066336	SPI1 PPI subnetwork
ENSG00000066379	ZNRD1 PPI subnetwork
ENSG00000066427	ATXN3 PPI subnetwork
ENSG00000066468	FGFR2 PPI subnetwork
ENSG00000066654	THUMPD1 PPI subnetwork
ENSG00000066735	KIF26A PPI subnetwork
ENSG00000066777	ARFGEF1 PPI subnetwork
ENSG00000066926	FECH PPI subnetwork
ENSG00000066933	MYO9A PPI subnetwork
ENSG00000067048	DDX3Y PPI subnetwork
ENSG00000067057	PFKP PPI subnetwork
ENSG00000067066	SP100 PPI subnetwork
ENSG00000067082	KLF6 PPI subnetwork
ENSG00000067177	PHKA1 PPI subnetwork
ENSG00000067182	TNFRSF1A PPI subnetwork
ENSG00000067191	CACNB1 PPI subnetwork
ENSG00000067208	EVI5 PPI subnetwork
ENSG00000067225	PKM2 PPI subnetwork
ENSG00000067334	DNTTIP2 PPI subnetwork
ENSG00000067369	TP53BP1 PPI subnetwork
ENSG00000067533	RRP15 PPI subnetwork
ENSG00000067560	RHOA PPI subnetwork
ENSG00000067596	DHX8 PPI subnetwork
ENSG00000067606	PRKCZ PPI subnetwork
ENSG00000067704	IARS2 PPI subnetwork
ENSG00000067715	SYT1 PPI subnetwork
ENSG00000067829	IDH3G PPI subnetwork
ENSG00000067836	ROGDI PPI subnetwork
ENSG00000067842	ATP2B3 PPI subnetwork
ENSG00000067900	ROCK1 PPI subnetwork
ENSG00000068024	HDAC4 PPI subnetwork
ENSG00000068028	RASSF1 PPI subnetwork
ENSG00000068078	FGFR3 PPI subnetwork
ENSG00000068305	MEF2A PPI subnetwork
ENSG00000068323	TFE3 PPI subnetwork
ENSG00000068354	TBC1D25 PPI subnetwork
ENSG00000068366	ACSL4 PPI subnetwork
ENSG00000068394	GPKOW PPI subnetwork
ENSG00000068400	GRIPAP1 PPI subnetwork
ENSG00000068438	FTSJ1 PPI subnetwork
ENSG00000068615	REEP1 PPI subnetwork
ENSG00000068654	POLR1A PPI subnetwork
ENSG00000068781	STON1-GTF2A1L PPI subnetwork
ENSG00000068793	CYFIP1 PPI subnetwork
ENSG00000068796	KIF2A PPI subnetwork
ENSG00000068878	PSME4 PPI subnetwork
ENSG00000068903	SIRT2 PPI subnetwork
ENSG00000068971	PPP2R5B PPI subnetwork
ENSG00000068976	PYGM PPI subnetwork
ENSG00000069011	PITX1 PPI subnetwork
ENSG00000069248	NUP133 PPI subnetwork
ENSG00000069275	NUCKS1 PPI subnetwork
ENSG00000069329	VPS35 PPI subnetwork
ENSG00000069345	DNAJA2 PPI subnetwork
ENSG00000069399	BCL3 PPI subnetwork
ENSG00000069424	KCNAB2 PPI subnetwork
ENSG00000069431	ABCC9 PPI subnetwork
ENSG00000069667	RORA PPI subnetwork
ENSG00000069702	TGFBR3 PPI subnetwork
ENSG00000069869	NEDD4 PPI subnetwork
ENSG00000069956	MAPK6 PPI subnetwork
ENSG00000069966	GNB5 PPI subnetwork
ENSG00000069974	RAB27A PPI subnetwork
ENSG00000070010	UFD1L PPI subnetwork
ENSG00000070018	LRP6 PPI subnetwork
ENSG00000070061	IKBKAP PPI subnetwork
ENSG00000070087	PFN2 PPI subnetwork
ENSG00000070159	PTPN3 PPI subnetwork
ENSG00000070182	SPTB PPI subnetwork
ENSG00000070193	FGF10 PPI subnetwork
ENSG00000070366	SMG6 PPI subnetwork
ENSG00000070367	EXOC5 PPI subnetwork
ENSG00000070371	CLTCL1 PPI subnetwork
ENSG00000070388	FGF22 PPI subnetwork
ENSG00000070423	RNF126 PPI subnetwork
ENSG00000070501	POLB PPI subnetwork
ENSG00000070756	PABPC1 PPI subnetwork
ENSG00000070759	TESK2 PPI subnetwork
ENSG00000070770	CSNK2A2 PPI subnetwork
ENSG00000070785	EIF2B3 PPI subnetwork
ENSG00000070808	CAMK2A PPI subnetwork
ENSG00000070814	TCOF1 PPI subnetwork
ENSG00000070831	CDC42 PPI subnetwork
ENSG00000070882	OSBPL3 PPI subnetwork
ENSG00000070950	RAD18 PPI subnetwork
ENSG00000070961	ATP2B1 PPI subnetwork
ENSG00000071051	NCK2 PPI subnetwork
ENSG00000071054	MAP4K4 PPI subnetwork
ENSG00000071082	RPL31 PPI subnetwork
ENSG00000071127	WDR1 PPI subnetwork
ENSG00000071242	RPS6KA2 PPI subnetwork
ENSG00000071243	ING3 PPI subnetwork
ENSG00000071462	WBSCR22 PPI subnetwork
ENSG00000071537	SEL1L PPI subnetwork
ENSG00000071539	TRIP13 PPI subnetwork
ENSG00000071564	TCF3 PPI subnetwork
ENSG00000071626	DAZAP1 PPI subnetwork
ENSG00000071655	MBD3 PPI subnetwork
ENSG00000071794	HLTF PPI subnetwork
ENSG00000071894	CPSF1 PPI subnetwork
ENSG00000071909	MYO3B PPI subnetwork
ENSG00000071994	PDCD2 PPI subnetwork
ENSG00000072062	PRKACA PPI subnetwork
ENSG00000072110	ACTN1 PPI subnetwork
ENSG00000072133	RPS6KA6 PPI subnetwork
ENSG00000072134	EPN2 PPI subnetwork
ENSG00000072135	PTPN18 PPI subnetwork
ENSG00000072195	SPEG PPI subnetwork
ENSG00000072201	LNX1 PPI subnetwork
ENSG00000072210	ALDH3A2 PPI subnetwork
ENSG00000072274	TFRC PPI subnetwork
ENSG00000072310	SREBF1 PPI subnetwork
ENSG00000072315	TRPC5 PPI subnetwork
ENSG00000072401	UBE2D1 PPI subnetwork
ENSG00000072415	MPP5 PPI subnetwork
ENSG00000072501	SMC1A PPI subnetwork
ENSG00000072518	MARK2 PPI subnetwork
ENSG00000072682	P4HA2 PPI subnetwork
ENSG00000072694	FCGR2B PPI subnetwork
ENSG00000072778	ACADVL PPI subnetwork
ENSG00000072803	FBXW11 PPI subnetwork
ENSG00000072832	CRMP1 PPI subnetwork
ENSG00000072849	DERL2 PPI subnetwork
ENSG00000072864	NDE1 PPI subnetwork
ENSG00000072952	MRVI1 PPI subnetwork
ENSG00000072958	AP1M1 PPI subnetwork
ENSG00000073009	IKBKG PPI subnetwork
ENSG00000073050	XRCC1 PPI subnetwork
ENSG00000073111	MCM2 PPI subnetwork
ENSG00000073282	TP63 PPI subnetwork
ENSG00000073536	NLE1 PPI subnetwork
ENSG00000073578	SDHA PPI subnetwork
ENSG00000073584	SMARCE1 PPI subnetwork
ENSG00000073614	KDM5A PPI subnetwork
ENSG00000073711	PPP2R3A PPI subnetwork
ENSG00000073756	PTGS2 PPI subnetwork
ENSG00000073792	IGF2BP2 PPI subnetwork
ENSG00000073910	FRY PPI subnetwork
ENSG00000073921	PICALM PPI subnetwork
ENSG00000073969	NSF PPI subnetwork
ENSG00000074047	GLI2 PPI subnetwork
ENSG00000074054	CLASP1 PPI subnetwork
ENSG00000074071	MRPS34 PPI subnetwork
ENSG00000074181	NOTCH3 PPI subnetwork
ENSG00000074201	CLNS1A PPI subnetwork
ENSG00000074211	PPP2R2C PPI subnetwork
ENSG00000074266	EED PPI subnetwork
ENSG00000074319	TSG101 PPI subnetwork
ENSG00000074370	ATP2A3 PPI subnetwork
ENSG00000074590	NUAK1 PPI subnetwork
ENSG00000074696	PTPLAD1 PPI subnetwork
ENSG00000074800	ENO1 PPI subnetwork
ENSG00000074966	TXK PPI subnetwork
ENSG00000075089	ACTR6 PPI subnetwork
ENSG00000075142	SRI PPI subnetwork
ENSG00000075151	EIF4G3 PPI subnetwork
ENSG00000075188	NUP37 PPI subnetwork
ENSG00000075239	ACAT1 PPI subnetwork
ENSG00000075290	WNT8B PPI subnetwork
ENSG00000075292	ZNF638 PPI subnetwork
ENSG00000075340	ADD2 PPI subnetwork
ENSG00000075388	FGF4 PPI subnetwork
ENSG00000075391	RASAL2 PPI subnetwork
ENSG00000075413	MARK3 PPI subnetwork
ENSG00000075415	SLC25A3 PPI subnetwork
ENSG00000075426	FOSL2 PPI subnetwork
ENSG00000075539	FRYL PPI subnetwork
ENSG00000075618	FSCN1 PPI subnetwork
ENSG00000075624	ACTB PPI subnetwork
ENSG00000075643	MOCOS PPI subnetwork
ENSG00000075651	PLD1 PPI subnetwork
ENSG00000075673	ATP12A PPI subnetwork
ENSG00000075711	DLG1 PPI subnetwork
ENSG00000075785	RAB7A PPI subnetwork
ENSG00000075856	SART3 PPI subnetwork
ENSG00000075884	ARHGAP15 PPI subnetwork
ENSG00000075886	TUBA3D PPI subnetwork
ENSG00000075891	PAX2 PPI subnetwork
ENSG00000075914	EXOSC7 PPI subnetwork
ENSG00000075945	KIFAP3 PPI subnetwork
ENSG00000076003	MCM6 PPI subnetwork
ENSG00000076043	REXO2 PPI subnetwork
ENSG00000076053	RBM7 PPI subnetwork
